# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
131  5.88e-01  1.30e+01 -9.55e+00  8.00    2.0   1.0  -37.6  90.0   1.0
132  3.78e-01  1.46e+01 -1.08e+01  8.00    2.0   1.0  -37.6  90.0   1.0
133  1.60e-01  1.62e+01 -1.20e+01  8.00    2.0   1.0  -37.6  90.0   1.0
134  1.53e-02  1.77e+01 -1.32e+01  8.00    2.0   1.0  -37.6  90.0   1.0
135  8.54e-04  1.93e+01 -1.44e+01  8.00    2.0   1.0  -37.6  90.0   1.0
136  0.00e+00  2.09e+01 -1.57e+01  8.00    2.0   1.0  -37.6  90.0   1.0
137  0.00e+00  2.25e+01 -1.69e+01  8.00    2.0   1.0  -37.6  90.0   1.0
138  0.00e+00  2.41e+01 -1.81e+01  8.00    2.0   1.0  -37.6  90.0   1.0
139  0.00e+00  2.57e+01 -1.93e+01  8.00    2.0   1.0  -37.6  90.0   1.0
140  0.00e+00  2.72e+01 -2.05e+01  8.00    2.0   1.0  -37.6  90.0   1.0
141  7.78e-02 -2.86e+00  2.65e+00  7.00    2.0   1.0  -37.6  90.0   1.0
142  1.92e-01 -1.28e+00  1.43e+00  7.00    2.0   1.0  -37.6  90.0   1.0
143  3.00e-01  3.09e-01  2.09e-01  7.00    2.0   1.0  -37.6  90.0   1.0
144  3.92e-01  1.89e+00 -1.01e+00  7.00    2.0   1.0  -37.6  90.0   1.0
145  3.75e-01  3.48e+00 -2.23e+00  7.00    2.0   1.0  -37.6  90.0   1.0
146  2.12e-01  5.06e+00 -3.45e+00  7.00    2.0   1.0  -37.6  90.0   1.0
147  2.51e-01  6.65e+00 -4.67e+00  7.00    2.0   1.0  -37.6  90.0   1.0
148  4.89e-01  8.23e+00 -5.89e+00  7.00    2.0   1.0  -37.6  90.0   1.0
